Name,POSNumber,MenuItemUniqueID
4 Dinner Rolls,136047,c0181ba5-1aac-4b4b-ab03-47b110d8bded
Dinner Roll,136048,2ce2aa12-8216-41e6-bfee-82deeadfdbb0
6 Dinner Rolls,136049,6d0999a8-e382-494f-a1d7-4a85b1fd27ee
Choc Mousse,136050,4454d558-0a84-4a02-9c22-99df9a8fb929
4 Dinner Rolls,136051,4039ebf0-778d-49b8-9a59-e0cb73638fd3
Gravy,136052,2a4012c9-ce39-4dfd-a6c2-ee3077080632
ADD 4 Din Rolls,136053,da7c91d6-1c8a-4053-bec7-c9c7c139dd72
Gravy 2x110g,136054,275f5356-7cb1-49e3-951d-48b6dab7cd4b
ADD Choc Mousse,136055,b135cf7d-1fa6-4ce8-8bb4-00ee93119b5c
2 Choc Mousse,136056,7c2106ca-2882-4276-a9af-49fde50bd093
Reg Chips,136057,3ab72763-acac-43fa-ab33-0fc7f8f6e90d
Reg Pot/Gravy,136058,23182447-0591-405d-9079-78313df5bf1c
ADD Reg Gravy,136059,e818b809-ca4e-4d60-9ee9-777321297d14
Reg Coleslaw,136060,c14185e4-056c-45ef-8487-2a94e2c9fe4f
Dinner Roll,136061,db30d336-32c2-4536-8db0-98d616047511
4 Rg Coleslaw,136062,1cc73440-e8a9-47fc-b3f2-f869482c86ac
ADD!JalapenoBwl,136063,f5ed9e73-f950-46be-960d-de6cdbb22894
Jalapeno Bowl,136064,1c0c55ce-1ca3-479b-85fd-99ebac11f647
ADD JalapenoBwl,136065,ac9c279a-e0a7-4f59-b7ac-387272003edf
Original Bowl,136066,5f8eb103-2f30-4a45-9d15-843dbd4c5927
Zinger Bowl,136067,f48eb0a0-ab81-45a1-a760-9ce80f61d8e9
Shaker HS Super,136068,4bc0cf45-7b72-4bf5-a4c0-ad791e5c991d
Shakr Plain Aio,136069,8d2710d6-d461-4ffa-9eb7-375f55c5ce8b
Pop Crunch Bowl,136070,6dfd1471-3fbc-4a43-bb45-fb0829de1956
$2 Choc Mousse,136071,ab38bd92-bab8-4406-a517-dd954004652f
ADD Lg Coleslaw,136072,8004b8d7-14fd-413f-a565-6edc515998d2
Add 2 Sides,136073,0e45c6af-7a0f-4fdc-bc2b-b11eef0d3fba
Choc Mousse,136074,a5284ef8-4940-495f-bc0e-ee2e49cb0e1d
Reg Chips,136075,a3aa8265-12f6-4d0d-b13f-0cc132dd76a7
Reg Pot/Gravy,136076,5a1ab798-3d7c-461b-a3a7-8e43a8579d90
Reg Coleslaw,136077,eb5238b6-2e87-4ebc-a2fc-db8937eb9ad3
Gravy,136078,5087522e-a8ec-4313-a00c-bd2b091aff7d
Dinner Roll,136079,d91c054b-28f0-47fa-8d7b-0ca10bb47f32
2 Choc Mousse,136080,515bf18c-2078-4d38-af67-fdfb09138c53
Waf & Dbl Choco,136081,ade65452-4eb7-419d-a695-5821932c9eea
Loaded Bowl,136082,021c11f2-1a26-4dc6-b397-300f2ef3419d
ADD 2 Choc Mous,136083,1bf48c3f-502a-4ec0-bef9-28ce9f5a86a4
Lg Chips,136100,b4558f45-ab6f-40dc-935f-1d67c844ac18
Lg Pot/Gravy,136101,6388121d-7065-47c5-b167-b9da21bf50a8
Lg Coleslaw,136102,c2b87b19-b9fc-4959-adef-a1d683ee5794
2 x Gravy,136103,fb351ae1-b38e-4fda-b0d5-17f2e69afd1c
Dinner Roll,136104,1e2cd3ef-9e65-4e70-9d69-b01183b15f9b
Gravy,136105,efc95a53-7c79-4595-8119-a4c18cae6581
_______________,141000,a4d33aea-273d-47a9-8cd3-a15a49a152ec
<Drinks>,141001,5ccebc71-4609-43bb-b456-e35a6cf31476
NO DRINK,141002,ce013012-bd6b-4f8e-b160-f6f5bd4803a4
Reg Lemonade,141003,f499a993-f870-4a64-990e-186440f95e0e
Lg Lemonade,141004,12f55c21-4484-490d-9598-87a9ea4bcd6d
1.10L Lemonade,141005,967ffdf9-000a-453f-8362-a2f9c760afc0
4 Reg Drinks,141006,416ab4be-7125-46ad-b43e-92538b72c26d
Reg Pepsi,141007,595e7051-6935-4d87-be93-413f6b6aa71b
*CHOOSE DRINK*,141008,0b159403-81ba-4bc7-bde9-ce2985065681
Upsize Drink,141009,5b9cc597-6200-4643-8779-a65d6771e264
Lg Pepsi,141010,c8162315-6a83-4392-9e87-c457cf05aa24
1.25L Pepsi,141011,333fc229-f882-49ef-8264-66669a2b7673
Up Chp/Drink,141012,5b034210-b4e8-4152-84e0-ef55e7a6df5e
Sparkling Water,141013,a5001b2c-2d41-4489-8445-e9554d5206dc
ADD 1.25L Pepsi,141014,3e4c24ca-5f22-4815-9087-f3a4ddf9b726
Reg Sunkist,141015,d4e5931a-af8c-45c1-9532-cea34abcce1c
Lg Sunkist,141016,59834a0b-45f6-46c7-838f-174c8480aa06
1.25L Sunkist,141017,48208e41-b71d-45a3-b24e-d1b98495426d
NO DRINK,141018,4976dbee-0bc5-4165-a9c7-9f1b4f50a416
1.25L Pepsi,141019,405499e6-f880-49c0-8e0f-370bf4c5dc13
Reg Mt Dew,141020,060e8830-91bf-4842-926f-8777f132af19
Lg Pepsi,141021,41ea2a01-619d-4dd4-802c-8717e61df402
NO LG DRINK,141022,9348b4d3-1912-4a65-ac61-86894b1fb419
2 Drinks,141023,1e9de590-761e-4d90-bb39-ca2ed40a5d91
ADD 1.25L MtDew,141024,c904caa5-15cc-4f45-a7c0-598e8bc8bb35
Lg Mt Dew,141025,46150c2d-f6a9-4941-a1d9-89ad6a420e0b
1.25L Mt Dew,141026,54ed91db-cc1b-4f3b-9cc8-d0db326df8ea
ADD 1.25L MtDew,141027,4f54f671-2f5b-4bb1-8bea-d092e6a64c30
1.25L Sunkist,141028,1745da28-6900-46f0-b344-63e9eaac9ada
1.25L 7Up,141029,ab7cefdd-0fab-4fdd-b15c-639dee218015
Reg Solo,141030,5f247e7b-0c0e-4245-9737-41145be9be71
Lg Solo,141031,ae6fc857-f10e-4da2-94a1-583a03a1d0f7
1.25L Solo,141032,42b1c068-3e62-41bd-add1-1b25badd738c
ADD 1.25L Solo,141033,acceccb9-b210-4ddc-a6fb-d86dd05d99b2
Lg Solo,141034,ccd883dc-1f10-4cc7-9230-7446ef123d74
Reg Sunkist,141035,3aca7c12-f9bc-4a2b-baa1-7f333b81fbcc
1.25L Sunkist,141036,1fe8cee9-a518-4d2f-90ae-3c3286730139
Lg Sunkist,141037,23ae19b6-7107-485e-a5c4-8ee86acff75f
ADD 1.25L Snkst,141038,079715f5-d04b-48d0-8ea8-7d632841e8c8
1.25L Solo,141039,f358a6d1-f3ae-482c-84e7-6396228920d0
Reg 7Up,141040,82963539-891f-4df3-b56d-fd305f00e3cb
Lg 7Up,141043,33e2c20b-b44d-4312-a0c6-baf56f04c7e2
1.25L 7Up,141044,c2f465ea-95d6-49bb-916a-6a9ba18c3f45
ADD 1.25L 7Up,141046,7da160e4-6735-4c5e-a0c0-8379e8d7df6f
Reg Pepsi Max,141047,51ba9f0d-d279-4885-96d9-002dee9cb228
Reg Pepsi,141048,b3958a82-4db6-4202-a689-af703abfc473
Reg 7Up,141049,143274da-9cae-46e1-8288-c533ae2b902b
Reg Mt Dew,141050,f85ec684-b4b4-45ac-ad6d-55a6323bd27d
Reg Solo,141051,35959837-5d7a-4110-9f90-75518314f30a
Reg Sunkist,141052,21cf82ca-1baa-4cf8-b6ab-ebff7018a8d1
Reg Pepsi Max,141055,81751e07-2921-445d-af98-89b0cd5d46c4
Lg Pepsi Max,141060,a4967c4a-9664-4cd8-86d3-4bafc028b493
1.25L Pepsi Max,141061,c4c8e9be-6813-4058-a08f-3767cbdd523c
1.25L Pepsi Max,141062,3bdb3d21-fbed-4065-a2b0-60c55109f36c
1.25L Pepsi,141063,5991c45a-3334-47db-b455-b348a283bd64
1.25L 7Up,141064,1f0baaef-20e1-4e8f-a9ad-8d71333e383c
