PromotionID,Combo_Name,PromotionUniqueID
8007,DINNER BOX 6 FLTS,5c0604c9-bb40-4212-8b77-87d55c0e081d
8046,9 PC DINNER,3ae087fd-5537-4166-a207-d8920b220999
1008,ORIG CRISPY CMB,55fa31ef-94d3-4697-a8bd-226d6ce8757f
7017,2 ZINGER CMB,8368ecd2-3a21-4691-b14b-98248a054624
9503,POP NUGG FEAST,21caf9ee-ae8f-437f-a0e3-bc19e10f8df9
6101,3 PC BOX u,adfea6a8-b9c1-4edb-b63b-cd6d6c19cf81
7010,2 DBL TENDER CMB,4d524eaa-cdad-436e-8589-a6d517e669fc
1053,SUPER B&C ZNG CMB,52905070-5932-45fa-9439-168ea7254278
1119,! OC BQ STACK CMB u,ac74f4d6-e5be-4931-9797-8a5e6e831f59
7999,*******************,bd402216-dc13-4e95-b15a-657e20c1444a
7009,20 NUG 2 R/CHIPS r,ff09cc17-6dda-4818-acaa-d3772b5c0c36
8052,GIANT FEAST P App sa,40715220-56f1-4557-b496-4f2d664b087b
7011,2 ZNG MOUSSE CHIP,50d3ec2e-bdfb-4822-84a3-2f42a2625c24
8000,**<Shared Meals HE>*,b5028f43-9892-4c77-b9cc-6aa1baf3441e
