Name,POSNumber,MenuItemUniqueID
Apple Juice,141077,d37c85b0-2eeb-427d-acef-4703dc9fef4e
Kids Pop Top,141078,8200922b-b4ab-4db2-a3a0-70feb2683863
Lipton Iced Tea,141093,e8ba238d-b9ff-457d-abfd-0c3d96d5a8db
Pepsi Freeze,141099,a566c69f-28e3-4775-adaa-b5e85acd0c5a
Dew Freeze,141101,c8ca32a2-e640-4aef-adef-5aad646ca3c4
1/2 Pepsi Frz,141102,da9f1cc2-a346-43b6-9c55-b823a3dc1702
1/2 Dew Frz,141103,470ca9f5-e0bf-46aa-a8e5-d4cf3d17c18a
Extra Ice,141105,729fbe1f-f443-4023-8dc2-fc082baff662
No Ice,141106,beecaef8-33f2-4e74-91a8-7d009953e43d
All Flavour Frz,141108,c66318c0-23ba-47ee-b8c5-a2327b200001
Rasp Freeze,141109,def6e49c-96b0-4a56-8089-66526a05f812
Lg Pepsi Max,141110,e4886049-f54c-4d38-9905-acf4f3a1b284
Lg Pepsi,141111,d6ce3f93-127e-4ad6-8f71-d1b4e4352f1b
Lg 7Up,141112,318e4a5b-118b-4104-9c88-79f29a1c3df2
Lg Mt Dew,141113,9b047bd0-c325-4928-bba3-3947df566b37
Lg Solo,141114,cfb6f8cf-006f-488c-b224-1efc380ed75e
Lg Sunkist,141115,6057f2d3-babb-48a2-82bc-08a199f7ce77
1/2 Rasp Frz,141116,0a679296-f0a9-4943-91bb-c3033b10b62b
Dew Freeze,141117,7adf63a2-1169-4429-a137-b48e66be3956
Pepsi Freeze,141118,dbdff92f-af64-4b26-8b24-884b8222552b
Rasp Freeze,141119,fbfa2969-8049-4a66-80a4-2942153d3740
Pepsi Freeze,141120,472413f0-f9ec-4949-bdb3-b959c7e2bd09
Dew Freeze,141121,695ee01c-6e30-481a-8a9b-f0242b4bf532
Rasp Freeze,141122,0c38b9f4-a1b7-4f55-8ffe-e4817bb5c9e8
Pepsi Freeze,141123,d6a49082-6a92-4941-9654-95d16ca1ad92
Dew Freeze,141124,12a98629-0507-4dd1-ad19-8828d4a93c06
Rasp Freeze,141125,2e2de3e9-e6af-4a54-a2c7-613bba887b6f
Lipton Iced Tea,141126,6ffe781e-1928-470b-bc24-24b9ebdf45c8
Reg Pepsi,141501,cd889a83-02c0-4f47-aa32-d849ab7efa35
Lg Pepsi,141502,a757cd29-93a5-40bd-ad40-e5476d5b000b
1.25L Pepsi,141503,bbd5bee0-a742-4918-b0a9-080309b593e6
Reg Sunkist Z,141504,562e2ab5-40bf-43ec-a834-a56b28cd3ddb
Lg Sunkist Z,141505,0cfabad5-fda1-4b36-960e-7a77f1b9067c
1.25L Sunkist Z,141506,dc7d88b1-e78e-436b-87a2-680f10843c0a
Reg Mt Dew,141507,318b5184-c86a-4871-8928-5e0bc0b99315
